primary_code,domicile_id,asset_universe,,
40109346,USA,Exchange Traded Funds,,
40109347,USA,Exchange Traded Funds,,
40109348,USA,Exchange Traded Funds,,
40109351,USA,Exchange Traded Funds,,
40109352,USA,Exchange Traded Funds,,
40109353,USA,Exchange Traded Funds,,
40109354,USA,Exchange Traded Funds,,
40109356,USA,Exchange Traded Funds,,
40109357,USA,Exchange Traded Funds,,
40109358,USA,Exchange Traded Funds,,
40109359,USA,Exchange Traded Funds,,
40109360,USA,Exchange Traded Funds,,
40109361,USA,Exchange Traded Funds,,
40109363,USA,Exchange Traded Funds,,
40109364,USA,Exchange Traded Funds,,
40109365,USA,Exchange Traded Funds,,
40109366,USA,Exchange Traded Funds,,
40109458,USA,Exchange Traded Funds,,
40109591,USA,Exchange Traded Funds,,
40109637,USA,Exchange Traded Funds,,
40109642,USA,Exchange Traded Funds,,
40109656,USA,Exchange Traded Funds,,
40109666,USA,Exchange Traded Funds,,
40109743,USA,Exchange Traded Funds,,
40109809,USA,Exchange Traded Funds,,
40109820,USA,Exchange Traded Funds,,
40110936,USA,Exchange Traded Funds,,
40095307,USA,Mutual Funds,,
40111062,USA,Exchange Traded Funds,,
40111063,USA,Exchange Traded Funds,,
40111240,USA,Exchange Traded Funds,,
40111241,USA,Exchange Traded Funds,,
40111242,USA,Exchange Traded Funds,,
40111243,USA,Exchange Traded Funds,,
40111244,USA,Exchange Traded Funds,,
40111245,USA,Exchange Traded Funds,,
40111249,USA,Exchange Traded Funds,,
40111250,USA,Exchange Traded Funds,,
40111251,USA,Exchange Traded Funds,,
40111252,USA,Exchange Traded Funds,,
40111253,USA,Exchange Traded Funds,,
40111254,USA,Exchange Traded Funds,,
40111255,USA,Exchange Traded Funds,,
40111256,USA,Exchange Traded Funds,,
40111259,USA,Exchange Traded Funds,,
40111267,USA,Exchange Traded Funds,,
40111270,USA,Exchange Traded Funds,,
40111272,USA,Exchange Traded Funds,,
40111273,USA,Exchange Traded Funds,,
40111274,USA,Exchange Traded Funds,,
40111275,USA,Exchange Traded Funds,,
40111458,USA,Exchange Traded Funds,,
40111470,USA,Exchange Traded Funds,,
40111476,USA,Exchange Traded Funds,,
40111482,USA,Exchange Traded Funds,,
40111486,USA,Exchange Traded Funds,,
40111493,USA,Exchange Traded Funds,,
40111494,USA,Exchange Traded Funds,,
40111496,USA,Exchange Traded Funds,,
40111497,USA,Exchange Traded Funds,,
40111498,USA,Exchange Traded Funds,,
40111499,USA,Exchange Traded Funds,,
40111500,USA,Exchange Traded Funds,,
40111501,USA,Exchange Traded Funds,,
40111502,USA,Exchange Traded Funds,,
40111503,USA,Exchange Traded Funds,,
40111505,USA,Exchange Traded Funds,,
40111506,USA,Exchange Traded Funds,,
40111507,USA,Exchange Traded Funds,,
40111508,USA,Exchange Traded Funds,,
40111509,USA,Exchange Traded Funds,,
40111520,USA,Exchange Traded Funds,,
40111522,USA,Exchange Traded Funds,,
40111524,USA,Exchange Traded Funds,,
40111529,USA,Exchange Traded Funds,,
40111531,USA,Exchange Traded Funds,,
