primary_code,t_date,fund size
60075234,10/31/2019,225118100
60075848,10/31/2019,64243082
60075869,10/31/2019,49595814
60075870,10/31/2019,661268292
60076101,10/31/2019,134043535
60076148,10/31/2019,1251739103
60076348,10/31/2019,1569046493
60076350,10/31/2019,3114211297
60077008,10/31/2019,304939686
60077022,10/31/2019,1364442410
60077048,10/31/2019,1472693281
60077124,10/31/2019,42439805
60077234,10/31/2019,5309096042
60077361,10/31/2019,955471058
60077680,10/31/2019,19346400
60077885,10/31/2019,514705662
60078246,10/31/2019,439630599
60078292,10/31/2019,497739337
60078633,10/31/2019,201622901
60078765,10/31/2019,476790600
60078937,10/31/2019,774294859
60079078,10/31/2019,553960330
60079393,10/31/2019,66641162
60079766,10/31/2019,73991942
60080146,10/31/2019,476651984
60080420,10/31/2019,319047002
60080869,10/31/2019,2392866242
60081813,10/31/2019,112658322
60082941,10/31/2019,35464361
60083323,10/31/2019,1750742454
60085649,10/31/2019,888534521
60086560,10/31/2019,73354824
60086725,10/31/2019,1026594176
60087019,10/31/2019,14882962668
60087242,10/31/2019,4055469511
60088005,10/31/2019,146890194
60088523,10/31/2019,322911038
60089059,10/31/2019,2287926879
60089615,10/31/2019,363161369
60089643,10/31/2019,90108123
60089750,10/31/2019,206384300
60089911,10/31/2019,154406133
60090164,10/31/2019,1012553849
60090227,10/31/2019,3763225200
60090265,10/31/2019,1865705685
60090537,10/31/2019,882747685
60090986,10/31/2019,24943804
60091041,10/31/2019,103919885
60091042,10/31/2019,47720685
60091045,10/31/2019,183355965
60091047,10/31/2019,272162325
60091125,10/31/2019,824824166
60091225,10/31/2019,354894526
60091270,10/31/2019,65292481
60091473,10/31/2019,78138743
60091641,10/31/2019,954761725
60091647,10/31/2019,159919731
60091654,10/31/2019,20361369
60091674,10/31/2019,74444790
60091687,10/31/2019,845957894
60091819,10/31/2019,1471373279
60091987,10/31/2019,6516082017
60092305,10/31/2019,245373713
60092630,10/31/2019,2588997900
60093086,10/31/2019,1165236000
60093125,10/31/2019,495874803
60093187,10/31/2019,106740139
60093485,10/31/2019,94220300
60093732,10/31/2019,818353160
60093972,10/31/2019,1923585207
60094021,10/31/2019,1012669742
60094022,10/31/2019,180521754
60095077,10/31/2019,245426410
60095845,10/31/2019,2397207172
